
ID	DOCULECT	CONCEPT	GLOSSID	IPA	TOKENS	COGID	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	DUPLICATES	COGNATES
136	Greek	bite (V)	7	ðaŋɡono	ð a ŋ ɡ o n o	59	3 7 4 1 7 4 7	AXMBYBZ	DANKUNU	2	2.D.C 2.A.V 2.N.c 2.K.C 2.U.V 2.N.C 2.U.V	2.0 1.5 1.1 1.75 1.3 1.75 0.8	0	12
137	Armenian	bite (V)	7	kəʦɛl	k ə ʦ ɛ l	57	1 7 2 7 5	AXBYN	KECEL	1	1.K.C 1.E.V 1.C.C 1.E.V 1.L.c	2.0 1.5 1.75 1.3 0.8	0	11
155	Greek	black	8	mavros	m a v r o s	64	4 7 3 5 7 3	AXBCYN	MABRUS	2	2.M.C 2.A.V 2.B.C 2.R.C 2.U.V 2.S.c	2.0 1.5 1.75 1.5 1.3 0.8	0	14
156	Armenian	black	8	sɛv	s ɛ v	62	3 7 3	AXN	SEB	1	1.S.C 1.E.V 1.B.c	2.0 1.5 0.8	0	13
174	Greek	blood	9	ema	e m a	70	7 4 7	XBZ	EMA	2	2.E.V 2.M.C 2.A.V	1.5 1.75 0.8	0	16
175	Armenian	blood	9	ɑɾɪun	ɑ ɾ ɪu n	69	7 5 7 4	XBYN	ARIN	1	1.A.V 1.R.C 1.I.V 1.N.c	1.5 1.75 1.3 0.8	0	15
192	Greek	bone	10	kokalo	k o k a l o	-72	1 7 1 7 5 7	AXBYBZ	KUKALU	2	2.K.C 2.U.V 2.K.C 2.A.V 2.L.C 2.U.V	2.0 1.5 1.75 1.3 1.75 0.8	0	18
193	Armenian	bone	10	voskoɾ	v o s k o ɾ	73	3 7 3 1 7 5	AXMBYN	BUSKUR	1	1.B.C 1.U.V 1.S.c 1.K.C 1.U.V 1.R.c	2.0 1.5 1.1 1.75 1.3 0.8	0	17
211	Greek	breast	11	stiθos	s t i θ o s	78	3 1 7 3 7 3	ACYBYN	STIDUS	2	2.S.C 2.T.C 2.I.V 2.D.C 2.U.V 2.S.c	2.0 1.5 1.3 1.75 1.3 0.8	0	20
212	Armenian	breast	11	kuɾʦkʰ	k u ɾ ʦ kʰ	83	1 7 5 2 1	AXLLN	KYRCK	1	1.K.C 1.Y.V 1.R.c 1.C.c 1.K.c	2.0 1.5 1.1 1.1 0.8	0	19
235	Greek	burn (V)	12	ceo	c eo	87	1 7	AX	CE	2	2.C.C 2.E.V	2.0 1.5	0	22
236	Armenian	burn (V)	12	ɑɪɾvɛl	ɑɪ ɾ v ɛ l	85	7 5 3 7 5	XMBYN	ARBEL	1	1.A.V 1.R.c 1.B.C 1.E.V 1.L.c	1.5 1.1 1.75 1.3 0.8	0	21
254	Greek	claw	13	niçi	n i ç i	94	4 7 3 7	AXBZ	NISI	2	2.N.C 2.I.V 2.S.C 2.I.V	2.0 1.5 1.75 0.8	0	24
255	Armenian	claw	13	jɛʁung	j ɛ ʁ u n g	94	6 7 5 7 4 1	AXBYLN	JERYNK	1	1.J.C 1.E.V 1.R.C 1.Y.V 1.N.c 1.K.c	2.0 1.5 1.75 1.3 1.1 0.8	0	23
273	Greek	cloud	14	sinefo	s i n e f o	98	3 7 4 7 3 7	AXBYBZ	SINEBU	2	2.S.C 2.I.V 2.N.C 2.E.V 2.B.C 2.U.V	2.0 1.5 1.75 1.3 1.75 0.8	0	26
274	Armenian	cloud	14	ɑmp	ɑ m p	99	7 4 1	XLN	AMP	1	1.A.V 1.M.c 1.P.c	1.5 1.1 0.8	0	25
314	Greek	come (V)	16	erxome	e r x o m e	117	7 5 3 7 4 7	XMBYBZ	ERGUME	2	2.E.V 2.R.c 2.G.C 2.U.V 2.M.C 2.E.V	1.5 1.1 1.75 1.3 1.75 0.8	0	28
315	Armenian	come (V)	16	gɑl	g ɑ l	113	1 7 5	AXN	KAL	1	1.K.C 1.A.V 1.L.c	2.0 1.5 0.8	0	27
335	Greek	die (V)	17	peθeno	p e θ e n o	120	1 7 3 7 4 7	AXBYBZ	PEDENU	2	2.P.C 2.E.V 2.D.C 2.E.V 2.N.C 2.U.V	2.0 1.5 1.75 1.3 1.75 0.8	0	30
336	Armenian	die (V)	17	mɛrnɛl	m ɛ r n ɛ l	121	4 7 5 4 7 5	AXMBYN	MERNEL	1	1.M.C 1.E.V 1.R.c 1.N.C 1.E.V 1.L.c	2.0 1.5 1.1 1.75 1.3 0.8	0	29
354	Greek	dog	18	scilos	s c i l o s	127	3 1 7 5 7 3	ACYBYN	SCILUS	2	2.S.C 2.C.C 2.I.V 2.L.C 2.U.V 2.S.c	2.0 1.5 1.3 1.75 1.3 0.8	0	32
355	Armenian	dog	18	ʃun	ʃ u n	123	3 7 4	AXN	SYN	1	1.S.C 1.Y.V 1.N.c	2.0 1.5 0.8	0	31
374	Greek	drink (V)	19	pino	p i n o	132	1 7 4 7	AXBZ	PINU	2	2.P.C 2.I.V 2.N.C 2.U.V	2.0 1.5 1.75 0.8	0	34
375	Armenian	drink (V)	19	χəmɛl	χ ə m ɛ l	131	3 7 4 7 5	AXBYN	GEMEL	1	1.G.C 1.E.V 1.M.C 1.E.V 1.L.c	2.0 1.5 1.75 1.3 0.8	0	33
414	Greek	ear	21	afti	a f t i	141	7 3 1 7	XMBZ	ABTI	2	2.A.V 2.B.c 2.T.C 2.I.V	1.5 1.1 1.75 0.8	0	36
415	Armenian	ear	21	ɑkɑnʤ	ɑ k ɑ n ʤ	141	7 1 7 4 2	XBYLN	AKANC	1	1.A.V 1.K.C 1.A.V 1.N.c 1.C.c	1.5 1.75 1.3 1.1 0.8	0	35
433	Greek	earth	22	ʝi	ʝ i	142	3 7	AX	SI	2	2.S.C 2.I.V	2.0 1.5	0	38
434	Armenian	earth	22	hoʁ	h o ʁ	146	3 7 5	AXN	HUR	1	1.H.C 1.U.V 1.R.c	2.0 1.5 0.8	0	37
452	Greek	eat (V)	23	troɣo	t r o ɣ o	153	1 5 7 3 7	ACXBZ	TRUGU	2	2.T.C 2.R.C 2.U.V 2.G.C 2.U.V	2.0 1.5 1.5 1.75 0.8	0	40
453	Armenian	eat (V)	23	utɛl	u t ɛ l	150	7 1 7 5	XBYN	YTEL	1	1.Y.V 1.T.C 1.E.V 1.L.c	1.5 1.75 1.3 0.8	0	39
471	Greek	egg	24	avɣo	a v ɣ o	154	7 3 3 7	XMBZ	ABGU	2	2.A.V 2.B.c 2.G.C 2.U.V	1.5 1.1 1.75 0.8	0	42
472	Armenian	egg	24	ʣu	ʣ u	155	2 7	AX	CY	1	1.C.C 1.Y.V	2.0 1.5	0	41
490	Greek	eye	25	mati	m a t i	158	4 7 1 7	AXBZ	MATI	2	2.M.C 2.A.V 2.T.C 2.I.V	2.0 1.5 1.75 0.8	0	44
491	Armenian	eye	25	ɑʧʰkʰ	ɑ ʧʰ kʰ	158	7 2 1	XLN	ACK	1	1.A.V 1.C.c 1.K.c	1.5 1.1 0.8	0	43
9161	Greek	fakeword	999	ababab	a b a b a b	999	7 1 7 1 7 1	XBYBYN	APAPAP	2	2.A.V 2.P.C 2.A.V 2.P.C 2.A.V 2.P.c	1.5 1.75 1.3 1.75 1.3 0.8	0	46
9162	Armenian	fakeword	999	ababab	a b a b a b	999	7 1 7 1 7 1	XBYBYN	APAPAP	1	1.A.V 1.P.C 1.A.V 1.P.C 1.A.V 1.P.c	1.5 1.75 1.3 1.75 1.3 0.8	0	45
1971	Greek	far	101	makran	m a k r a n	557	4 7 1 5 7 4	AXBCYN	MAKRAN	2	2.M.C 2.A.V 2.K.C 2.R.C 2.A.V 2.N.c	2.0 1.5 1.75 1.5 1.3 0.8	0	48
1972	Armenian	far	101	hɛru	h ɛ r u	553	3 7 5 7	AXBZ	HERY	1	1.H.C 1.E.V 1.R.C 1.Y.V	2.0 1.5 1.75 0.8	0	47
509	Greek	fat	26	lipos	l i p o s	168	5 7 1 7 3	AXBYN	LIPUS	2	2.L.C 2.I.V 2.P.C 2.U.V 2.S.c	2.0 1.5 1.75 1.3 0.8	0	50
510	Armenian	fat	26	ʧɑɾp	ʧ ɑ ɾ p	-161	2 7 5 1	AXLN	CARP	1	1.C.C 1.A.V 1.R.c 1.P.c	2.0 1.5 1.1 0.8	0	49
530	Greek	feather	27	ftero	f t e r o	170	3 1 7 5 7	ACYBZ	BTERU	2	2.B.C 2.T.C 2.E.V 2.R.C 2.U.V	2.0 1.5 1.3 1.75 0.8	0	52
531	Armenian	feather	27	pʰɛtuɾ	pʰ ɛ t u ɾ	-171	1 7 1 7 5	AXBYN	PETYR	1	1.P.C 1.E.V 1.T.C 1.Y.V 1.R.c	2.0 1.5 1.75 1.3 0.8	0	51
550	Greek	fire	28	fotça	f o t ç a	175	3 7 1 3 7	AXBCZ	BUTSA	2	2.B.C 2.U.V 2.T.C 2.S.C 2.A.V	2.0 1.5 1.75 1.5 0.8	0	54
551	Armenian	fire	28	kəɾɑk	k ə ɾ ɑ k	180	1 7 5 7 1	AXBYN	KERAK	1	1.K.C 1.E.V 1.R.C 1.A.V 1.K.c	2.0 1.5 1.75 1.3 0.8	0	53
570	Greek	fish	29	p͡sari	p͡s a r i	185	1 7 5 7	AXBZ	PARI	2	2.P.C 2.A.V 2.R.C 2.I.V	2.0 1.5 1.75 0.8	0	56
571	Armenian	fish	29	ʣuk	ʣ u k	183	2 7 1	AXN	CYK	1	1.C.C 1.Y.V 1.K.c	2.0 1.5 0.8	0	55
589	Greek	fly (V)	30	peto	p e t o	191	1 7 1 7	AXBZ	PETU	2	2.P.C 2.E.V 2.T.C 2.U.V	2.0 1.5 1.75 0.8	0	58
590	Armenian	fly (V)	30	tʰərʧʰɛl	tʰ ə r ʧʰ ɛ l	191	1 7 5 2 7 5	AXMBYN	TERCEL	1	1.T.C 1.E.V 1.R.c 1.C.C 1.E.V 1.L.c	2.0 1.5 1.1 1.75 1.3 0.8	0	57
608	Greek	foot	31	poði	p o ð i	194	1 7 3 7	AXBZ	PUDI	2	2.P.C 2.U.V 2.D.C 2.I.V	2.0 1.5 1.75 0.8	0	60
609	Armenian	foot	31	votkʰ	v o t kʰ	194	3 7 1 1	AXLN	BUTK	1	1.B.C 1.U.V 1.T.c 1.K.c	2.0 1.5 1.1 0.8	0	59
627	Greek	full	32	ʝematos	ʝ e m a t o s	195	3 7 4 7 1 7 3	AXBYBYN	SEMATUS	2	2.S.C 2.E.V 2.M.C 2.A.V 2.T.C 2.U.V 2.S.c	2.0 1.5 1.75 1.3 1.75 1.3 0.8	0	62
628	Armenian	full	32	likʰə	l i kʰ ə	196	5 7 1 7	AXBZ	LIKE	1	1.L.C 1.I.V 1.K.C 1.E.V	2.0 1.5 1.75 0.8	0	61
646	Greek	give (V)	33	ðino	ð i n o	198	3 7 4 7	AXBZ	DINU	2	2.D.C 2.I.V 2.N.C 2.U.V	2.0 1.5 1.75 0.8	0	64
647	Armenian	give (V)	33	tɑl	t ɑ l	198	1 7 5	AXN	TAL	1	1.T.C 1.A.V 1.L.c	2.0 1.5 0.8	0	63
665	Greek	good	34	kalos	k a l o s	199	1 7 5 7 3	AXBYN	KALUS	2	2.K.C 2.A.V 2.L.C 2.U.V 2.S.c	2.0 1.5 1.75 1.3 0.8	0	66
666	Armenian	good	34	lɑv	l ɑ v	202	5 7 3	AXN	LAB	1	1.L.C 1.A.V 1.B.c	2.0 1.5 0.8	0	65
684	Greek	green	35	prasinos	p r a s i n o s	210	1 5 7 3 7 4 7 3	ACXBYBYN	PRASINUS	2	2.P.C 2.R.C 2.A.V 2.S.C 2.I.V 2.N.C 2.U.V 2.S.c	2.0 1.5 1.5 1.75 1.3 1.75 1.3 0.8	0	68
685	Armenian	green	35	kɑnɑʧʰ	k ɑ n ɑ ʧʰ	-206	1 7 4 7 2	AXBYN	KANAC	1	1.K.C 1.A.V 1.N.C 1.A.V 1.C.c	2.0 1.5 1.75 1.3 0.8	0	67
703	Greek	hair	36	trixa	t r i x a	214	1 5 7 3 7	ACXBZ	TRIGA	2	2.T.C 2.R.C 2.I.V 2.G.C 2.A.V	2.0 1.5 1.5 1.75 0.8	0	70
704	Armenian	hair	36	mɑz	m ɑ z	-211	4 7 3	AXN	MAS	1	1.M.C 1.A.V 1.S.c	2.0 1.5 0.8	0	69
722	Greek	hand	37	çeri	ç e r i	219	3 7 5 7	AXBZ	SERI	2	2.S.C 2.E.V 2.R.C 2.I.V	2.0 1.5 1.75 0.8	0	72
723	Armenian	hand	37	ʣɛrkʰ	ʣ ɛ r kʰ	219	2 7 5 1	AXLN	CERK	1	1.C.C 1.E.V 1.R.c 1.K.c	2.0 1.5 1.1 0.8	0	71
741	Greek	head	38	cefali	c e f a l i	225	1 7 3 7 5 7	AXBYBZ	CEBALI	2	2.C.C 2.E.V 2.B.C 2.A.V 2.L.C 2.I.V	2.0 1.5 1.75 1.3 1.75 0.8	0	74
742	Armenian	head	38	gəluχ	g ə l u χ	228	1 7 5 7 3	AXBYN	KELYG	1	1.K.C 1.E.V 1.L.C 1.Y.V 1.G.c	2.0 1.5 1.75 1.3 0.8	0	73
760	Greek	hear (V)	39	akuo	a k uo	230	7 1 7	XBZ	AKY	2	2.A.V 2.K.C 2.Y.V	1.5 1.75 0.8	0	76
761	Armenian	hear (V)	39	ləsɛl	l ə s ɛ l	231	5 7 3 7 5	AXBYN	LESEL	1	1.L.C 1.E.V 1.S.C 1.E.V 1.L.c	2.0 1.5 1.75 1.3 0.8	0	75
779	Greek	heart	40	karðʝa	k a r ð ʝ a	235	1 7 5 3 3 7	AXLMBZ	KARDSA	2	2.K.C 2.A.V 2.R.c 2.D.c 2.S.C 2.A.V	2.0 1.5 1.1 1.1 1.75 0.8	0	78
780	Armenian	heart	40	siɾt	s i ɾ t	235	3 7 5 1	AXLN	SIRT	1	1.S.C 1.I.V 1.R.c 1.T.c	2.0 1.5 1.1 0.8	0	77
798	Greek	horn	41	cerato	c e r a t o	238	1 7 5 7 1 7	AXBYBZ	CERATU	2	2.C.C 2.E.V 2.R.C 2.A.V 2.T.C 2.U.V	2.0 1.5 1.75 1.3 1.75 0.8	0	80
799	Armenian	horn	41	poz	p o z	-236	1 7 3	AXN	PUS	1	1.P.C 1.U.V 1.S.c	2.0 1.5 0.8	0	79
836	Greek	kill (V)	43	skotono	s k o t o n o	244	3 1 7 1 7 4 7	ACYBYBZ	SKUTUNU	2	2.S.C 2.K.C 2.U.V 2.T.C 2.U.V 2.N.C 2.U.V	2.0 1.5 1.3 1.75 1.3 1.75 0.8	0	82
837	Armenian	kill (V)	43	spɑnɛl	s p ɑ n ɛ l	241	3 1 7 4 7 5	ACYBYN	SPANEL	1	1.S.C 1.P.C 1.A.V 1.N.C 1.E.V 1.L.c	2.0 1.5 1.3 1.75 1.3 0.8	0	81
856	Greek	knee	44	ɣonato	ɣ o n a t o	254	3 7 4 7 1 7	AXBYBZ	GUNATU	2	2.G.C 2.U.V 2.N.C 2.A.V 2.T.C 2.U.V	2.0 1.5 1.75 1.3 1.75 0.8	0	84
857	Armenian	knee	44	ʦunk	ʦ u n k	254	2 7 4 1	AXLN	CYNK	1	1.C.C 1.Y.V 1.N.c 1.K.c	2.0 1.5 1.1 0.8	0	83
875	Greek	know (V)	45	k͡sero	k͡s e r o	258	1 7 5 7	AXBZ	KERU	2	2.K.C 2.E.V 2.R.C 2.U.V	2.0 1.5 1.75 0.8	0	86
876	Armenian	know (V)	45	gitɛnɑl	g i t ɛ n ɑ l	256	1 7 1 7 4 7 5	AXBYBYN	KITENAL	1	1.K.C 1.I.V 1.T.C 1.E.V 1.N.C 1.A.V 1.L.c	2.0 1.5 1.75 1.3 1.75 1.3 0.8	0	85
892	Greek	know (V)	45	ɣnorizo	ɣ n o r i z o	257	3 4 7 5 7 3 7	ACXBYBZ	GNURISU	2	2.G.C 2.N.C 2.U.V 2.R.C 2.I.V 2.S.C 2.U.V	2.0 1.5 1.5 1.75 1.3 1.75 0.8	0	87
907	Greek	leaf	46	filo	f i l o	262	3 7 5 7	AXBZ	BILU	2	2.B.C 2.I.V 2.L.C 2.U.V	2.0 1.5 1.75 0.8	0	89
908	Armenian	leaf	46	tɛɾɛv	t ɛ ɾ ɛ v	260	1 7 5 7 3	AXBYN	TEREB	1	1.T.C 1.E.V 1.R.C 1.E.V 1.B.c	2.0 1.5 1.75 1.3 0.8	0	88
947	Greek	liver	48	sikoti	s i k o t i	-274	3 7 1 7 1 7	AXBYBZ	SIKUTI	2	2.S.C 2.I.V 2.K.C 2.U.V 2.T.C 2.I.V	2.0 1.5 1.75 1.3 1.75 0.8	0	91
948	Armenian	liver	48	lɪɑrtʰ	l ɪɑ r tʰ	273	5 7 5 1	AXLN	LIRT	1	1.L.C 1.I.V 1.R.c 1.T.c	2.0 1.5 1.1 0.8	0	90
966	Greek	long	49	makris	m a k r i s	282	4 7 1 5 7 3	AXBCYN	MAKRIS	2	2.M.C 2.A.V 2.K.C 2.R.C 2.I.V 2.S.c	2.0 1.5 1.75 1.5 1.3 0.8	0	93
967	Armenian	long	49	jɛɾkɑɾ	j ɛ ɾ k ɑ ɾ	280	6 7 5 1 7 5	AXMBYN	JERKAR	1	1.J.C 1.E.V 1.R.c 1.K.C 1.A.V 1.R.c	2.0 1.5 1.1 1.75 1.3 0.8	0	92
985	Greek	louse	50	p͡sira	p͡s i r a	285	1 7 5 7	AXBZ	PIRA	2	2.P.C 2.I.V 2.R.C 2.A.V	2.0 1.5 1.75 0.8	0	95
986	Armenian	louse	50	voʧʰil	v o ʧʰ i l	287	3 7 2 7 5	AXBYN	BUCIL	1	1.B.C 1.U.V 1.C.C 1.I.V 1.L.c	2.0 1.5 1.75 1.3 0.8	0	94
1020	Greek	many	52	poliariθmos	p o l ia r i θ m o s	302	1 7 5 7 5 7 3 4 7 3	AXBYBYBCYN	PULIRIDMUS	2	2.P.C 2.U.V 2.L.C 2.I.V 2.R.C 2.I.V 2.D.C 2.M.C 2.U.V 2.S.c	2.0 1.5 1.75 1.3 1.75 1.3 1.75 1.5 1.3 0.8	0	97
1021	Armenian	many	52	ʃɑt	ʃ ɑ t	-298	3 7 1	AXN	SAT	1	1.S.C 1.A.V 1.T.c	2.0 1.5 0.8	0	96
1043	Greek	meat	53	kreas	k r ea s	304	1 5 7 3	ACXN	KRES	2	2.K.C 2.R.C 2.E.V 2.S.c	2.0 1.5 1.5 0.8	0	99
1044	Armenian	meat	53	mis	m i s	307	4 7 3	AXN	MIS	1	1.M.C 1.I.V 1.S.c	2.0 1.5 0.8	0	98
1063	Greek	moon	54	selini	s e l i n i	-316	3 7 5 7 4 7	AXBYBZ	SELINI	2	2.S.C 2.E.V 2.L.C 2.I.V 2.N.C 2.I.V	2.0 1.5 1.75 1.3 1.75 0.8	0	101
1064	Armenian	moon	54	lusin	l u s i n	311	5 7 3 7 4	AXBYN	LYSIN	1	1.L.C 1.Y.V 1.S.C 1.I.V 1.N.c	2.0 1.5 1.75 1.3 0.8	0	100
1083	Greek	mountain	55	oros	o r o s	321	7 5 7 3	XBYN	URUS	2	2.U.V 2.R.C 2.U.V 2.S.c	1.5 1.75 1.3 0.8	0	103
1084	Armenian	mountain	55	sɑɾ	s ɑ ɾ	320	3 7 5	AXN	SAR	1	1.S.C 1.A.V 1.R.c	2.0 1.5 0.8	0	102
1104	Greek	mouth	56	stoma	s t o m a	330	3 1 7 4 7	ACYBZ	STUMA	2	2.S.C 2.T.C 2.U.V 2.M.C 2.A.V	2.0 1.5 1.3 1.75 0.8	0	105
1105	Armenian	mouth	56	bɛɾɑn	b ɛ ɾ ɑ n	333	1 7 5 7 4	AXBYN	PERAN	1	1.P.C 1.E.V 1.R.C 1.A.V 1.N.c	2.0 1.5 1.75 1.3 0.8	0	104
1123	Greek	name	57	onoma	o n o m a	334	7 4 7 4 7	XBYBZ	UNUMA	2	2.U.V 2.N.C 2.U.V 2.M.C 2.A.V	1.5 1.75 1.3 1.75 0.8	0	107
1124	Armenian	name	57	ɑnun	ɑ n u n	334	7 4 7 4	XBYN	ANYN	1	1.A.V 1.N.C 1.Y.V 1.N.c	1.5 1.75 1.3 0.8	0	106
2012	Greek	near	103	konda	k o n d a	573	1 7 4 1 7	AXMBZ	KUNTA	2	2.K.C 2.U.V 2.N.c 2.T.C 2.A.V	2.0 1.5 1.1 1.75 0.8	0	109
2013	Armenian	near	103	mot	m o t	-575	4 7 1	AXN	MUT	1	1.M.C 1.U.V 1.T.c	2.0 1.5 0.8	0	108
1162	Greek	new	59	neos	n eo s	343	4 7 3	AXN	NES	2	2.N.C 2.E.V 2.S.c	2.0 1.5 0.8	0	111
1163	Armenian	new	59	noɾ	n o ɾ	343	4 7 5	AXN	NUR	1	1.N.C 1.U.V 1.R.c	2.0 1.5 0.8	0	110
1181	Greek	night	60	nixta	n i x t a	346	4 7 3 1 7	AXMBZ	NIGTA	2	2.N.C 2.I.V 2.G.c 2.T.C 2.A.V	2.0 1.5 1.1 1.75 0.8	0	113
1182	Armenian	night	60	giʃɛɾ	g i ʃ ɛ ɾ	344	1 7 3 7 5	AXBYN	KISER	1	1.K.C 1.I.V 1.S.C 1.E.V 1.R.c	2.0 1.5 1.75 1.3 0.8	0	112
1200	Greek	nose	61	miti	m i t i	348	4 7 1 7	AXBZ	MITI	2	2.M.C 2.I.V 2.T.C 2.I.V	2.0 1.5 1.75 0.8	0	115
1201	Armenian	nose	61	kʰitʰ	kʰ i tʰ	-349	1 7 1	AXN	KIT	1	1.K.C 1.I.V 1.T.c	2.0 1.5 0.8	0	114
1237	Greek	one	63	ena	e n a	355	7 4 7	XBZ	ENA	2	2.E.V 2.N.C 2.A.V	1.5 1.75 0.8	0	117
1238	Armenian	one	63	mɛk	m ɛ k	355	4 7 1	AXN	MEK	1	1.M.C 1.E.V 1.K.c	2.0 1.5 0.8	0	116
1256	Greek	person	64	anθropos	a n θ r o p o s	358	7 4 3 5 7 1 7 3	XMBCYBYN	ANDRUPUS	2	2.A.V 2.N.c 2.D.C 2.R.C 2.U.V 2.P.C 2.U.V 2.S.c	1.5 1.1 1.75 1.5 1.3 1.75 1.3 0.8	0	119
1257	Armenian	person	64	mɑɾtʰ	m ɑ ɾ tʰ	-359	4 7 5 1	AXLN	MART	1	1.M.C 1.A.V 1.R.c 1.T.c	2.0 1.5 1.1 0.8	0	118
1275	Greek	rain (V)	65	vroçi	v r o ç i	366	3 5 7 3 7	ACXBZ	BRUSI	2	2.B.C 2.R.C 2.U.V 2.S.C 2.I.V	2.0 1.5 1.5 1.75 0.8	0	121
1276	Armenian	rain (V)	65	ɑnʣɾɛv	ɑ n ʣ ɾ ɛ v	364	7 4 2 5 7 3	XMBCYN	ANCREB	1	1.A.V 1.N.c 1.C.C 1.R.C 1.E.V 1.B.c	1.5 1.1 1.75 1.5 1.3 0.8	0	120
1293	Greek	red	66	kocinos	k o c i n o s	-369	1 7 1 7 4 7 3	AXBYBYN	KUCINUS	2	2.K.C 2.U.V 2.C.C 2.I.V 2.N.C 2.U.V 2.S.c	2.0 1.5 1.75 1.3 1.75 1.3 0.8	0	123
1294	Armenian	red	66	kɑɾmiɾ	k ɑ ɾ m i ɾ	-372	1 7 5 4 7 5	AXMBYN	KARMIR	1	1.K.C 1.A.V 1.R.c 1.M.C 1.I.V 1.R.c	2.0 1.5 1.1 1.75 1.3 0.8	0	122
1311	Greek	road	67	ðromos	ð r o m o s	374	3 5 7 4 7 3	ACXBYN	DRUMUS	2	2.D.C 2.R.C 2.U.V 2.M.C 2.U.V 2.S.c	2.0 1.5 1.5 1.75 1.3 0.8	0	125
1312	Armenian	road	67	ʧɑmpʰɑ	ʧ ɑ m pʰ ɑ	-382	2 7 4 1 7	AXMBZ	CAMPA	1	1.C.C 1.A.V 1.M.c 1.P.C 1.A.V	2.0 1.5 1.1 1.75 0.8	0	124
1332	Greek	root	68	oðos	o ð o s	388	7 3 7 3	XBYN	UDUS	2	2.U.V 2.D.C 2.U.V 2.S.c	1.5 1.75 1.3 0.8	0	127
1333	Armenian	root	68	ɑɾmɑt	ɑ ɾ m ɑ t	387	7 5 4 7 1	XMBYN	ARMAT	1	1.A.V 1.R.c 1.M.C 1.A.V 1.T.c	1.5 1.1 1.75 1.3 0.8	0	126
1343	Greek	root	68	riza	r i z a	386	5 7 3 7	AXBZ	RISA	2	2.R.C 2.I.V 2.S.C 2.A.V	2.0 1.5 1.75 0.8	0	128
1351	Greek	round	69	stroɲɟilos	s t r o ɲ ɟ i l o s	393	3 1 5 7 4 1 7 5 7 3	ACCYMBYBYN	STRUNCILUS	2	2.S.C 2.T.C 2.R.C 2.U.V 2.N.c 2.C.C 2.I.V 2.L.C 2.U.V 2.S.c	2.0 1.5 1.5 1.3 1.1 1.75 1.3 1.75 1.3 0.8	0	130
1352	Armenian	round	69	kəloɾ	k ə l o ɾ	394	1 7 5 7 5	AXBYN	KELUR	1	1.K.C 1.E.V 1.L.C 1.U.V 1.R.c	2.0 1.5 1.75 1.3 0.8	0	129
2033	Greek	salt	104	alati	a l a t i	576	7 5 7 1 7	XBYBZ	ALATI	2	2.A.V 2.L.C 2.A.V 2.T.C 2.I.V	1.5 1.75 1.3 1.75 0.8	0	132
2034	Armenian	salt	104	ɑʁ	ɑ ʁ	576	7 5	XN	AR	1	1.A.V 1.R.c	1.5 0.8	0	131
1369	Greek	sand	70	amos	a m o s	398	7 4 7 3	XBYN	AMUS	2	2.A.V 2.M.C 2.U.V 2.S.c	1.5 1.75 1.3 0.8	0	134
