ID	DOCULECT	CONCEPT	GLOSSID	IPA	TOKENS	COGID	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	DUPLICATES	COGNATES
16	Italian	all	1	intɛro	i n t ɛ r o	2	7 4 1 7 5 7	XMBYBZ	INTERU	12	12.I.V 12.N.c 12.T.C 12.E.V 12.R.C 12.U.V	1.5 1.1 1.75 1.3 1.75 0.8	0	27
17	Hindi	all	1	səb	s ə b	4	3 7 1	AXN	SEP	10	10.S.C 10.E.V 10.P.c	2.0 1.5 0.8	0	25
18	Portuguese	all	1	todu	t o d u	6	1 7 1 7	AXBZ	TUTY	15	15.T.C 15.U.V 15.T.C 15.Y.V	2.0 1.5 1.75 0.8	0	22
19	Spanish	all	1	toðo	t o ð o	6	1 7 3 7	AXBZ	TUDU	18	18.T.C 18.U.V 18.D.C 18.U.V	2.0 1.5 1.75 0.8	0	22
20	Romanian	all	1	ɨntreg	ɨ n t r e g	2	7 4 1 5 7 1	XMBCYN	INTREK	16	16.I.V 16.N.c 16.T.C 16.R.C 16.E.V 16.K.c	1.5 1.1 1.75 1.5 1.3 0.8	0	27
21	French	all	1	ɑ̃tje	ɑ̃ t j e	2	7 1 6 7	XBCZ	ATJE	7	7.A.V 7.T.C 7.J.C 7.E.V	1.5 1.75 1.5 0.8	0	35
22	Italian	all	1	tutto	t u tː o	6	1 7 1 7	AXBZ	TYTU	12	12.T.C 12.Y.V 12.T.C 12.U.V	2.0 1.5 1.75 0.8	0	22
23	Hindi	all	1	saːraː	s aː r aː	1	3 7 5 7	AXBZ	SARA	10	10.S.C 10.A.V 10.R.C 10.A.V	2.0 1.5 1.75 0.8	0	36
24	Dutch	ashes	2	ɑs	ɑ s	10	7 3	XN	AS	5	5.A.V 5.S.c	1.5 0.8	0	40
25	Swedish	ashes	2	asːka	a sː k a	10	7 3 1 7	XMBZ	ASKA	19	19.A.V 19.S.c 19.K.C 19.A.V	1.5 1.1 1.75 0.8	0	40
26	English	ashes	2	æʃ	æ ʃ	10	7 3	XN	ES	6	6.E.V 6.S.c	1.5 0.8	0	40
27	German	ashes	2	aʃə	a ʃ ə	10	7 3 7	XBZ	ASE	8	8.A.V 8.S.C 8.E.V	1.5 1.75 0.8	0	44
28	Spanish	ashes	2	θeniθa	θ e n i θ a	12	3 7 4 7 3 7	AXBYBZ	DENIDA	18	18.D.C 18.E.V 18.N.C 18.I.V 18.D.C 18.A.V	2.0 1.5 1.75 1.3 1.75 0.8	0	51
29	Danish	ashes	2	asg	a s g	10	7 3 1	XLN	ASK	4	4.A.V 4.S.c 4.K.c	1.5 1.1 0.8	0	40
30	Bulgarian	ashes	2	pɛpɛl	p ɛ p ɛ l	8	1 7 1 7 5	AXBYN	PEPEL	2	2.P.C 2.E.V 2.P.C 2.E.V 2.L.c	2.0 1.5 1.75 1.3 0.8	0	38
31	Greek	ashes	2	staxti	s t a x t i	14	3 1 7 3 1 7	ACYMBZ	STAGTI	9	9.S.C 9.T.C 9.A.V 9.G.c 9.T.C 9.I.V	2.0 1.5 1.3 1.1 1.75 0.8	0	45
32	Armenian	ashes	2	moχiɾ	m o χ i ɾ	9	4 7 3 7 5	AXBYN	MUGIR	1	1.M.C 1.U.V 1.G.C 1.I.V 1.R.c	2.0 1.5 1.75 1.3 0.8	0	37
33	Romanian	ashes	2	ʧenuʃə	ʧ e n u ʃ ə	12	2 7 4 7 3 7	AXBYBZ	CENYSE	16	16.C.C 16.E.V 16.N.C 16.Y.V 16.S.C 16.E.V	2.0 1.5 1.75 1.3 1.75 0.8	0	48
34	Russian	ashes	2	zɐla	z ɐ l a	11	3 7 5 7	AXBZ	SELA	17	17.S.C 17.E.V 17.L.C 17.A.V	2.0 1.5 1.75 0.8	0	53
35	Polish	ashes	2	pɔpʲuw	p ɔ pʲ u w	8	1 7 1 7 6	AXBYN	PUPYW	14	14.P.C 14.U.V 14.P.C 14.Y.V 14.W.c	2.0 1.5 1.75 1.3 0.8	0	38
36	Norwegian	ashes	2	ɑsk	ɑ s k	-10	7 3 1	XLN	ASK	13	13.A.V 13.S.c 13.K.c	1.5 1.1 0.8	0	40
37	French	ashes	2	sɑ̃dʁ	s ɑ̃ d ʁ	12	3 7 1 5	AXBC	SATR	7	7.S.C 7.A.V 7.T.C 7.R.C	2.0 1.5 1.75 1.5	0	43
38	Czech	ashes	2	popɛl	p o p ɛ l	8	1 7 1 7 5	AXBYN	PUPEL	3	3.P.C 3.U.V 3.P.C 3.E.V 3.L.c	2.0 1.5 1.75 1.3 0.8	0	38
39	Icelandic	ashes	2	aska	a s k a	10	7 3 1 7	XMBZ	ASKA	11	11.A.V 11.S.c 11.K.C 11.A.V	1.5 1.1 1.75 0.8	0	40
40	Italian	ashes	2	ʧenere	ʧ e n e r e	12	2 7 4 7 5 7	AXBYBZ	CENERE	12	12.C.C 12.E.V 12.N.C 12.E.V 12.R.C 12.E.V	2.0 1.5 1.75 1.3 1.75 0.8	0	48
41	Hindi	ashes	2	raːkʰ	r aː kʰ	13	5 7 1	AXN	RAK	10	10.R.C 10.A.V 10.K.c	2.0 1.5 0.8	0	46
42	Portuguese	ashes	2	sĩzɐ	s ĩ z ɐ	12	3 7 3 7	AXBZ	SISE	15	15.S.C 15.I.V 15.S.C 15.E.V	2.0 1.5 1.75 0.8	0	51
43	Russian	ashes	2	pʲepɪlʲ	pʲ e p ɪ lʲ	8	1 7 1 7 5	AXBYN	PEPIL	17	17.P.C 17.E.V 17.P.C 17.I.V 17.L.c	2.0 1.5 1.75 1.3 0.8	0	38
44	Dutch	bark	3	bɑst	b ɑ s t	19	1 7 3 1	AXLN	PAST	5	5.P.C 5.A.V 5.S.c 5.T.c	2.0 1.5 1.1 0.8	0	58
45	Swedish	bark	3	barːk	b a rː k	15	1 7 5 1	AXLN	PARK	19	19.P.C 19.A.V 19.R.c 19.K.c	2.0 1.5 1.1 0.8	0	57
46	English	bark	3	bɑːrk	b ɑː r k	-15	1 7 5 1	AXLN	PARK	6	6.P.C 6.A.V 6.R.c 6.K.c	2.0 1.5 1.1 0.8	0	57
47	German	bark	3	rɪndə	r ɪ n d ə	20	5 7 4 1 7	AXMBZ	RINTE	8	8.R.C 8.I.V 8.N.c 8.T.C 8.E.V	2.0 1.5 1.1 1.75 0.8	0	61
48	Spanish	bark	3	koɾteθa	k o ɾ t e θ a	18	1 7 5 1 7 3 7	AXMBYBZ	KURTEDA	18	18.K.C 18.U.V 18.R.c 18.T.C 18.E.V 18.D.C 18.A.V	2.0 1.5 1.1 1.75 1.3 1.75 0.8	0	60
49	Danish	bark	3	bɑːg	b ɑː g	15	1 7 1	AXN	PAK	4	4.P.C 4.A.V 4.K.c	2.0 1.5 0.8	0	57
50	Bulgarian	bark	3	kora	k o r a	23	1 7 5 7	AXBZ	KURA	2	2.K.C 2.U.V 2.R.C 2.A.V	2.0 1.5 1.75 0.8	0	55
51	Greek	bark	3	flios	f l io s	16	3 5 7 3	ACXN	BLIS	9	9.B.C 9.L.C 9.I.V 9.S.c	2.0 1.5 1.5 0.8	0	62
52	Armenian	bark	3	kɛʁɛv	k ɛ ʁ ɛ v	22	1 7 5 7 3	AXBYN	KEREB	1	1.K.C 1.E.V 1.R.C 1.E.V 1.B.c	2.0 1.5 1.75 1.3 0.8	0	54
53	Romanian	bark	3	skwarʦə	s k w a r ʦ ə	23	3 1 6 7 5 2 7	ACCYMBZ	SKWARCE	16	16.S.C 16.K.C 16.W.C 16.A.V 16.R.c 16.C.C 16.E.V	2.0 1.5 1.5 1.3 1.1 1.75 0.8	0	60
54	Russian	bark	3	kɐra	k ɐ r a	23	1 7 5 7	AXBZ	KERA	17	17.K.C 17.E.V 17.R.C 17.A.V	2.0 1.5 1.75 0.8	0	55
55	Polish	bark	3	kɔra	k ɔ r a	23	1 7 5 7	AXBZ	KURA	14	14.K.C 14.U.V 14.R.C 14.A.V	2.0 1.5 1.75 0.8	0	55
56	Norwegian	bark	3	bɑɾk	b ɑ ɾ k	-15	1 7 5 1	AXLN	PARK	13	13.P.C 13.A.V 13.R.c 13.K.c	2.0 1.5 1.1 0.8	0	57
57	French	bark	3	ekɔʁs	e k ɔ ʁ s	23	7 1 7 5 3	XBYLN	EKURS	7	7.E.V 7.K.C 7.U.V 7.R.c 7.S.c	1.5 1.75 1.3 1.1 0.8	0	60
58	Czech	bark	3	kuːra	k uː r a	23	1 7 5 7	AXBZ	KYRA	3	3.K.C 3.Y.V 3.R.C 3.A.V	2.0 1.5 1.75 0.8	0	55
59	Icelandic	bark	3	bœrkʏr	b œ r k ʏ r	15	1 7 5 1 7 5	AXMBYN	PURKYR	11	11.P.C 11.U.V 11.R.c 11.K.C 11.Y.V 11.R.c	2.0 1.5 1.1 1.75 1.3 0.8	0	57
60	Italian	bark	3	korteʧʧa	k o r t e ʧː a	18	1 7 5 1 7 2 7	AXMBYBZ	KURTECA	12	12.K.C 12.U.V 12.R.c 12.T.C 12.E.V 12.C.C 12.A.V	2.0 1.5 1.1 1.75 1.3 1.75 0.8	0	60
61	Hindi	bark	3	ʧʰaːl	ʧʰ aː l	21	2 7 5	AXN	CAL	10	10.C.C 10.A.V 10.L.c	2.0 1.5 0.8	0	63
62	Portuguese	bark	3	kaʃkɐ	k a ʃ k ɐ	17	1 7 3 1 7	AXMBZ	KASKE	15	15.K.C 15.A.V 15.S.c 15.K.C 15.E.V	2.0 1.5 1.1 1.75 0.8	0	68
63	Dutch	belly	4	bœyk	b œy k	27	1 7 1	AXN	PUK	5	5.P.C 5.U.V 5.K.c	2.0 1.5 0.8	0	72
64	Swedish	belly	4	maːge	m aː g e	32	4 7 1 7	AXBZ	MAKE	19	19.M.C 19.A.V 19.K.C 19.E.V	2.0 1.5 1.75 0.8	0	80
65	English	belly	4	bɛlɪ	b ɛ l ɪ	28	1 7 5 7	AXBZ	PELI	6	6.P.C 6.E.V 6.L.C 6.I.V	2.0 1.5 1.75 0.8	0	73
66	German	belly	4	baux	b au x	27	1 7 3	AXN	PAG	8	8.P.C 8.A.V 8.G.c	2.0 1.5 0.8	0	72
67	Spanish	belly	4	bjentre	b j e n t r e	26	1 6 7 4 1 5 7	ACXMBCZ	PJENTRE	18	18.P.C 18.J.C 18.E.V 18.N.c 18.T.C 18.R.C 18.E.V	2.0 1.5 1.5 1.1 1.75 1.5 0.8	0	74
68	Danish	belly	4	ɔnʌliwˀ	ɔ n ʌ l i wˀ	34	7 4 7 5 7 6	XBYBYN	UNELIW	4	4.U.V 4.N.C 4.E.V 4.L.C 4.I.V 4.W.c	1.5 1.75 1.3 1.75 1.3 0.8	0	71
69	Bulgarian	belly	4	korɛm	k o r ɛ m	-30	1 7 5 7 4	AXBYN	KUREM	2	2.K.C 2.U.V 2.R.C 2.E.V 2.M.c	2.0 1.5 1.75 1.3 0.8	0	69
70	Greek	belly	4	ciʎa	c i ʎ a	24	1 7 5 7	AXBZ	CILA	9	9.C.C 9.I.V 9.L.C 9.A.V	2.0 1.5 1.75 0.8	0	76
71	Romanian	belly	4	pənteʦe	p ə n t e ʦ e	33	1 7 4 1 7 2 7	AXMBYBZ	PENTECE	16	16.P.C 16.E.V 16.N.c 16.T.C 16.E.V 16.C.C 16.E.V	2.0 1.5 1.1 1.75 1.3 1.75 0.8	0	79
72	Russian	belly	4	ʒɨvot	ʒ ɨ v o t	31	3 7 3 7 1	AXBYN	SIBUT	17	17.S.C 17.I.V 17.B.C 17.U.V 17.T.c	2.0 1.5 1.75 1.3 0.8	0	84
73	Polish	belly	4	bʒux	b ʒ u x	35	1 3 7 3	ACXN	PSYG	14	14.P.C 14.S.C 14.Y.V 14.G.c	2.0 1.5 1.5 0.8	0	81
74	Norwegian	belly	4	mɑːgə	m ɑː g ə	32	4 7 1 7	AXBZ	MAKE	13	13.M.C 13.A.V 13.K.C 13.E.V	2.0 1.5 1.75 0.8	0	80
75	French	belly	4	vɑ̃tʁ	v ɑ̃ t ʁ	26	3 7 1 5	AXBC	BATR	7	7.B.C 7.A.V 7.T.C 7.R.C	2.0 1.5 1.75 1.5	0	74
76	Czech	belly	4	brɪxo	b r ɪ x o	35	1 5 7 3 7	ACXBZ	PRIGU	3	3.P.C 3.R.C 3.I.V 3.G.C 3.U.V	2.0 1.5 1.5 1.75 0.8	0	70
77	Icelandic	belly	4	kʰvɪːðʏr	kʰ v ɪː ð ʏ r	36	1 3 7 3 7 5	ACXBYN	KBIDYR	11	11.K.C 11.B.C 11.I.V 11.D.C 11.Y.V 11.R.c	2.0 1.5 1.5 1.75 1.3 0.8	0	78
78	Italian	belly	4	panʧa	p a n ʧ a	33	1 7 4 2 7	AXMBZ	PANCA	12	12.P.C 12.A.V 12.N.c 12.C.C 12.A.V	2.0 1.5 1.1 1.75 0.8	0	79
79	Hindi	belly	4	peːʈ	p eː ʈ	-25	1 7 1	AXN	PET	10	10.P.C 10.E.V 10.T.c	2.0 1.5 0.8	0	77
80	Portuguese	belly	4	vẽtrə	v ẽ t r ə	26	3 7 1 5 7	AXBCZ	BETRE	15	15.B.C 15.E.V 15.T.C 15.R.C 15.E.V	2.0 1.5 1.75 1.5 0.8	0	74
81	Swedish	belly	4	buk	b u k	27	1 7 1	AXN	PYK	19	19.P.C 19.Y.V 19.K.c	2.0 1.5 0.8	0	72
82	Danish	belly	4	mæːvə	m æː v ə	32	4 7 3 7	AXBZ	MEBE	4	4.M.C 4.E.V 4.B.C 4.E.V	2.0 1.5 1.75 0.8	0	80
83	Norwegian	belly	4	bʉːk	b ʉː k	27	1 7 1	AXN	PYK	13	13.P.C 13.Y.V 13.K.c	2.0 1.5 0.8	0	72
84	Italian	belly	4	vɛntre	v ɛ n t r e	26	3 7 4 1 5 7	AXMBCZ	BENTRE	12	12.B.C 12.E.V 12.N.c 12.T.C 12.R.C 12.E.V	2.0 1.5 1.1 1.75 1.5 0.8	0	74
85	Portuguese	belly	4	bɐʀigɐ	b ɐ ʀ i g ɐ	29	1 7 5 7 1 7	AXBYBZ	PERIKE	15	15.P.C 15.E.V 15.R.C 15.I.V 15.K.C 15.E.V	2.0 1.5 1.75 1.3 1.75 0.8	0	70
86	Dutch	big	5	xroːt	x r oː t	46	3 5 7 1	ACXN	GRUT	5	5.G.C 5.R.C 5.U.V 5.T.c	2.0 1.5 1.5 0.8	0	89
87	Swedish	big	5	stoːr	s t oː r	43	3 1 7 5	ACYN	STUR	19	19.S.C 19.T.C 19.U.V 19.R.c	2.0 1.5 1.3 0.8	0	88
88	English	big	5	bɪɡ	b ɪ ɡ	40	1 7 1	AXN	PIK	6	6.P.C 6.I.V 6.K.c	2.0 1.5 0.8	0	85
89	German	big	5	ɡroːs	ɡ r oː s	46	1 5 7 3	ACXN	KRUS	8	8.K.C 8.R.C 8.U.V 8.S.c	2.0 1.5 1.5 0.8	0	89
90	Spanish	big	5	ɡɾande	ɡ ɾ a n d e	47	1 5 7 4 1 7	ACXMBZ	KRANTE	18	18.K.C 18.R.C 18.A.V 18.N.c 18.T.C 18.E.V	2.0 1.5 1.5 1.1 1.75 0.8	0	91
91	Danish	big	5	sdoˀʁ	s d oˀ ʁ	43	3 1 7 5	ACYN	STUR	4	4.S.C 4.T.C 4.U.V 4.R.c	2.0 1.5 1.3 0.8	0	88
92	Bulgarian	big	5	golʲam	g o lʲ a m	38	1 7 5 7 4	AXBYN	KULAM	2	2.K.C 2.U.V 2.L.C 2.A.V 2.M.c	2.0 1.5 1.75 1.3 0.8	0	86
93	Greek	big	5	meɣalos	m e ɣ a l o s	37	4 7 3 7 5 7 3	AXBYBYN	MEGALUS	9	9.M.C 9.E.V 9.G.C 9.A.V 9.L.C 9.U.V 9.S.c	2.0 1.5 1.75 1.3 1.75 1.3 0.8	0	93
94	Armenian	big	5	mɛʦ	m ɛ ʦ	37	4 7 2	AXN	MEC	1	1.M.C 1.E.V 1.C.c	2.0 1.5 0.8	0	85
95	Romanian	big	5	mare	m a r e	42	4 7 5 7	AXBZ	MARE	16	16.M.C 16.A.V 16.R.C 16.E.V	2.0 1.5 1.75 0.8	0	100
96	Russian	big	5	bɐlʲʃoj	b ɐ lʲ ʃ o j	44	1 7 5 3 7 6	AXMBYN	PELSUJ	17	17.P.C 17.E.V 17.L.c 17.S.C 17.U.V 17.J.c	2.0 1.5 1.1 1.75 1.3 0.8	0	101
97	Polish	big	5	vʲɛlki	vʲ ɛ l k i	41	3 7 5 1 7	AXMBZ	BELKI	14	14.B.C 14.E.V 14.L.c 14.K.C 14.I.V	2.0 1.5 1.1 1.75 0.8	0	87
98	Norwegian	big	5	stuːɾ	s t uː ɾ	-43	3 1 7 5	ACYN	STYR	13	13.S.C 13.T.C 13.Y.V 13.R.c	2.0 1.5 1.3 0.8	0	88
99	French	big	5	ɡʁã	ɡ ʁ ã	47	1 5 7	ACX	KRA	7	7.K.C 7.R.C 7.A.V	2.0 1.5 1.5	0	91
100	Czech	big	5	vɛlkiː	v ɛ l k iː	41	3 7 5 1 7	AXMBZ	BELKI	3	3.B.C 3.E.V 3.L.c 3.K.C 3.I.V	2.0 1.5 1.1 1.75 0.8	0	87
101	Icelandic	big	5	stouːr	s t ouː r	43	3 1 7 5	ACYN	STUR	11	11.S.C 11.T.C 11.U.V 11.R.c	2.0 1.5 1.3 0.8	0	88
102	Italian	big	5	ɡrande	ɡ r a n d e	47	1 5 7 4 1 7	ACXMBZ	KRANTE	12	12.K.C 12.R.C 12.A.V 12.N.c 12.T.C 12.E.V	2.0 1.5 1.5 1.1 1.75 0.8	0	91
103	Hindi	big	5	bəɽaː	b ə ɽ aː	39	1 7 5 7	AXBZ	PERA	10	10.P.C 10.E.V 10.R.C 10.A.V	2.0 1.5 1.75 0.8	0	94
104	Portuguese	big	5	grɐ̃də	g r ɐ̃ d ə	47	1 5 7 1 7	ACXBZ	KRETE	15	15.K.C 15.R.C 15.E.V 15.T.C 15.E.V	2.0 1.5 1.5 1.75 0.8	0	91
105	English	big	5	ɡreɪt	ɡ r eɪ t	46	1 5 7 1	ACXN	KRET	6	6.K.C 6.R.C 6.E.V 6.T.c	2.0 1.5 1.5 0.8	0	89
106	Polish	big	5	duʒɨ	d u ʒ ɨ	45	1 7 3 7	AXBZ	TYSI	14	14.T.C 14.Y.V 14.S.C 14.I.V	2.0 1.5 1.75 0.8	0	106
107	Icelandic	big	5	mɪːcɪt͡l	m ɪː c ɪ t͡l	37	4 7 1 7 1	AXBYN	MICIT	11	11.M.C 11.I.V 11.C.C 11.I.V 11.T.c	2.0 1.5 1.75 1.3 0.8	0	105
108	Dutch	bird	6	voːɣəl	v oː ɣ ə l	51	3 7 3 7 5	AXBYN	BUGEL	5	5.B.C 5.U.V 5.G.C 5.E.V 5.L.c	2.0 1.5 1.75 1.3 0.8	0	110
109	Swedish	bird	6	foːgel	f oː g e l	51	3 7 1 7 5	AXBYN	BUKEL	19	19.B.C 19.U.V 19.K.C 19.E.V 19.L.c	2.0 1.5 1.75 1.3 0.8	0	110
110	English	bird	6	bɜːrd	b ɜː r d	53	1 7 5 1	AXLN	PERT	6	6.P.C 6.E.V 6.R.c 6.T.c	2.0 1.5 1.1 0.8	0	112
111	German	bird	6	foːɡəl	f oː ɡ ə l	51	3 7 1 7 5	AXBYN	BUKEL	8	8.B.C 8.U.V 8.K.C 8.E.V 8.L.c	2.0 1.5 1.75 1.3 0.8	0	110
112	Spanish	bird	6	paxaro	p a x a r o	48	1 7 3 7 5 7	AXBYBZ	PAGARU	18	18.P.C 18.A.V 18.G.C 18.A.V 18.R.C 18.U.V	2.0 1.5 1.75 1.3 1.75 0.8	0	122
113	Danish	bird	6	fuˀl	f uˀ l	51	3 7 5	AXN	BYL	4	4.B.C 4.Y.V 4.L.c	2.0 1.5 0.8	0	110
114	Bulgarian	bird	6	ptiʦə	p t i ʦ ə	51	1 1 7 2 7	ACYBZ	PTICE	2	2.P.C 2.T.C 2.I.V 2.C.C 2.E.V	2.0 1.5 1.3 1.75 0.8	0	108
115	Greek	bird	6	puli	p u l i	-50	1 7 5 7	AXBZ	PYLI	9	9.P.C 9.Y.V 9.L.C 9.I.V	2.0 1.5 1.75 0.8	0	115
116	Armenian	bird	6	tʰərʧʰun	tʰ ə r ʧʰ u n	48	1 7 5 2 7 4	AXMBYN	TERCYN	1	1.T.C 1.E.V 1.R.c 1.C.C 1.Y.V 1.N.c	2.0 1.5 1.1 1.75 1.3 0.8	0	107
117	Romanian	bird	6	pasəre	p a s ə r e	48	1 7 3 7 5 7	AXBYBZ	PASERE	16	16.P.C 16.A.V 16.S.C 16.E.V 16.R.C 16.E.V	2.0 1.5 1.75 1.3 1.75 0.8	0	122
118	Russian	bird	6	ptʲiʦə	p tʲ i ʦ ə	51	1 1 7 2 7	ACYBZ	PTICE	17	17.P.C 17.T.C 17.I.V 17.C.C 17.E.V	2.0 1.5 1.3 1.75 0.8	0	108
119	Polish	bird	6	ptak	p t a k	51	1 1 7 1	ACYN	PTAK	14	14.P.C 14.T.C 14.A.V 14.K.c	2.0 1.5 1.3 0.8	0	109
120	Norwegian	bird	6	fʉːl	f ʉː l	51	3 7 5	AXN	BYL	13	13.B.C 13.Y.V 13.L.c	2.0 1.5 0.8	0	110
121	French	bird	6	wazo	w a z o	52	6 7 3 7	AXBZ	WASU	7	7.W.C 7.A.V 7.S.C 7.U.V	2.0 1.5 1.75 0.8	0	113
122	Czech	bird	6	ptaːk	p t aː k	51	1 1 7 1	ACYN	PTAK	3	3.P.C 3.T.C 3.A.V 3.K.c	2.0 1.5 1.3 0.8	0	109
123	Icelandic	bird	6	fʏkl	f ʏ k l	51	3 7 1 5	AXBC	BYKL	11	11.B.C 11.Y.V 11.K.C 11.L.C	2.0 1.5 1.75 1.5	0	110
124	Italian	bird	6	uʧːɛllo	u ʧː ɛ lː o	52	7 2 7 5 7	XBYBZ	YCELU	12	12.Y.V 12.C.C 12.E.V 12.L.C 12.U.V	1.5 1.75 1.3 1.75 0.8	0	118
125	Hindi	bird	6	ʧɪɽɪyaː	ʧ ɪ ɽ ɪyaː	-49	2 7 5 7	AXBZ	CIRI	10	10.C.C 10.I.V 10.R.C 10.I.V	2.0 1.5 1.75 0.8	0	116
126	Portuguese	bird	6	avə	a v ə	52	7 3 7	XBZ	ABE	15	15.A.V 15.B.C 15.E.V	1.5 1.75 0.8	0	121
127	Spanish	bird	6	ave	a v e	52	7 3 7	XBZ	ABE	18	18.A.V 18.B.C 18.E.V	1.5 1.75 0.8	0	121
128	Portuguese	bird	6	pasɐru	p a s ɐ r u	48	1 7 3 7 5 7	AXBYBZ	PASERY	15	15.P.C 15.A.V 15.S.C 15.E.V 15.R.C 15.Y.V	2.0 1.5 1.75 1.3 1.75 0.8	0	122
